budget,runtime,vote_average,vote_count,popularity,hit
237000000,162.0,7.2,11800,150.437577,1
300000000,169.0,6.9,4500,139.082615,1
245000000,148.0,6.3,4466,107.376788,1
250000000,165.0,7.6,9106,112.31295,1
260000000,132.0,6.1,2124,43.926995,1
258000000,139.0,5.9,3576,115.699814,1
260000000,100.0,7.4,3330,48.681969,1
280000000,141.0,7.3,6767,134.279229,1
250000000,153.0,7.4,5293,98.885637,1
250000000,151.0,5.7,7004,155.790452,1
270000000,154.0,5.4,1400,57.925623,1
200000000,106.0,6.1,2965,107.928811,1
200000000,151.0,7.0,5246,145.847379,1
255000000,149.0,5.9,2311,49.046956,0
225000000,143.0,6.5,6359,99.398009,1
225000000,150.0,6.3,1630,53.978602,1
220000000,143.0,7.4,11776,144.448633,1
380000000,136.0,6.4,4948,135.413856,1
225000000,106.0,6.2,4160,52.035179,1
250000000,144.0,7.1,4760,120.965743,1
215000000,136.0,6.5,6586,89.866276,1
200000000,140.0,6.2,1398,37.668301,1
250000000,161.0,7.6,4524,94.370564,1
180000000,113.0,5.8,1303,42.990906,1
207000000,187.0,6.6,2337,61.22601,1
200000000,194.0,7.5,7562,100.025899,1
250000000,147.0,7.1,7241,198.372395,1
209000000,131.0,5.5,2114,64.928382,1
150000000,124.0,6.5,8662,418.708552,1
200000000,143.0,6.9,7604,93.004993,1
200000000,127.0,6.7,4321,35.149586,1
200000000,130.0,6.8,8806,77.68208,1
200000000,108.0,6.4,4645,78.530105,1
210000000,104.0,6.3,3525,3.857526,1
200000000,104.0,7.0,3528,89.186492,1
150000000,150.0,6.0,3138,21.939663,1
210000000,165.0,5.8,3095,116.840296,1
200000000,130.0,5.7,3530,46.985445,1
200000000,142.0,6.5,4179,89.270217,1
170000000,125.0,6.3,2841,73.79505,1
200000000,106.0,5.8,2033,49.98659,1
200000000,114.0,5.1,2487,51.872839,1
200000000,103.0,7.6,4597,59.995418,1
200000000,115.0,5.9,2463,71.862892,1
190000000,137.0,7.3,4176,102.322217,1
200000000,116.0,6.7,5560,81.834855,1
250000000,131.0,7.5,6032,118.078691,1
190000000,132.0,7.4,4418,78.291018,1
195000000,114.0,5.5,2598,43.349855,1
105000000,143.0,7.3,3769,61.196071,1
150000000,116.0,6.2,2317,62.169881,1
180000000,131.0,6.7,4794,56.523205,1
195000000,154.0,6.1,3299,28.529607,1
185000000,122.0,5.7,2495,75.674458,1
175000000,93.0,6.6,1736,51.692953,1
185000000,93.0,6.7,4641,125.114374,1
185000000,122.0,6.6,2568,65.352913,1
180000000,98.0,7.8,6296,66.390712,1
140000000,91.0,6.1,783,22.57178,1
200000000,158.0,5.6,4903,45.274225,1
200000000,96.0,6.6,1095,39.744242,1
176000003,124.0,5.2,2768,85.36908,1
180000000,109.0,5.5,2430,42.741719,1
180000000,143.0,6.7,2629,67.391328,1
178000000,144.0,6.4,4721,139.272042,1
185000000,152.0,8.2,12002,187.322927,1
175000000,96.0,7.7,6870,92.201962,1
175000000,94.0,6.0,1423,36.167578,1
140000000,126.0,7.4,8776,120.725053,1
170000000,126.0,7.0,2141,32.319043,1
170000000,106.0,5.1,1020,40.748915,1
145000000,112.0,5.2,1387,60.034162,1
175000000,123.0,5.9,7458,90.23792,1
175000000,96.0,5.3,1151,27.082182,0
178000000,113.0,7.6,4858,79.456485,1
175000000,135.0,5.9,992,44.640292,1
175000000,118.0,5.6,1962,32.852443,1
175000000,94.0,8.0,6560,128.655964,1
175000000,106.0,6.7,2892,94.199316,1
200000000,124.0,6.6,6849,77.300194,1
170000000,127.0,5.8,3118,77.178973,1
180000000,97.0,7.0,4496,110.620647,1
170000000,130.0,7.3,4410,243.791743,1
175000000,119.0,5.9,1326,41.796339,0
170000000,136.0,7.6,5764,72.225265,1
165000000,93.0,6.0,1959,44.041186,1
190000000,130.0,6.2,2846,130.311355,1
165000000,102.0,7.8,6135,203.73459,1
165000000,108.0,7.1,4570,62.341073,1
165000000,100.0,6.4,1474,47.323228,1
165000000,120.0,4.9,2491,48.775723,1
165000000,98.0,7.5,4227,67.263269,1
200000000,109.0,5.9,2143,69.405188,1
170000000,121.0,7.9,9742,481.098624,1
165000000,169.0,8.1,10867,724.247784,1
160000000,148.0,8.1,13752,167.58371,1
15000000,120.0,6.5,143,9.476999,1
250000000,169.0,7.0,8297,108.849621,1
38000000,106.0,6.6,3428,6.909942,1
150000000,166.0,7.3,3292,60.269279,1
160000000,132.0,7.1,5181,3.195174,1
160000000,137.0,6.6,3984,127.284427,1
150000000,109.0,5.8,1470,35.580815,1
160000000,99.0,5.5,583,21.133748,1
170000000,113.0,6.5,1725,56.268916,1
160000000,93.0,6.0,2278,42.986467,1
160000000,123.0,6.3,2268,63.148529,1
155000000,126.0,5.8,3631,202.042635,1
155000000,113.0,6.2,1514,49.661984,1
140000000,183.0,6.6,1791,34.20669,1
150000000,144.0,6.6,4040,25.468493,1
155000000,175.0,5.6,927,39.019229,1
150000000,138.0,7.4,5494,78.144395,1
150000000,157.0,7.5,5608,101.250416,1
150000000,92.0,6.2,2961,56.758411,1
150000000,101.0,6.9,4853,70.867401,1
150000000,115.0,6.7,3624,53.905592,1
150000000,111.0,7.5,4369,65.677399,1
150000000,140.0,7.5,7359,115.040024,1
150000000,89.0,6.2,1810,44.141021,1
150000000,105.0,5.9,1971,81.781591,1
150000000,107.0,6.2,4021,5.954334,1
150000000,129.0,6.4,3096,73.313918,1
150000000,102.0,7.3,5295,165.125366,1
150000000,138.0,6.7,3443,70.78591,1
170000000,112.0,6.8,4755,99.499595,1
150000000,120.0,7.2,9427,434.278564,1
150000000,138.0,6.5,2129,67.447636,1
150000000,115.0,6.6,6525,86.493424,1
150000000,98.0,6.3,1750,41.845878,1
150000000,88.0,5.1,510,26.710398,1
150000000,99.0,5.5,1431,44.927635,1
150000000,113.0,5.7,2320,50.306728,1
150000000,131.0,7.1,3224,114.522237,1
150000000,91.0,5.7,1171,29.332905,1
150000000,91.0,6.7,1880,51.247321,1
150000000,103.0,4.7,1151,33.769336,1
150000000,126.0,6.5,2028,63.079003,1
150000000,131.0,6.4,1891,39.004588,1
150000000,88.0,5.5,199,12.362599,0
149000000,85.0,6.0,874,22.550135,0
150000000,111.0,5.9,954,48.03528,0
145000000,92.0,6.7,843,38.73494,1
175000000,163.0,6.9,2759,66.803149,1
145000000,93.0,6.4,1808,44.989192,1
140000000,133.0,5.8,1092,54.159392,1
144000000,116.0,5.3,2142,66.21806,1
140000000,151.0,6.4,2482,58.485967,1
140000000,88.0,6.0,3114,91.332849,1
70000000,115.0,5.5,841,35.601665,1
145000000,95.0,6.7,1603,56.747978,1
145000000,133.0,6.8,3972,77.77477,1
145000000,97.0,7.1,1922,61.788035,1
100000000,90.0,5.9,627,25.159168,1
140000000,154.0,7.3,1895,52.341226,1
140000000,150.0,5.6,1921,101.599427,1
150000000,127.0,7.4,4518,73.616808,1
139000000,121.0,6.8,5265,82.502566,1
145000000,102.0,7.6,3106,100.21391,1
140000000,127.0,5.3,1277,56.257249,1
135000000,121.0,4.9,331,17.88953,0
130000000,163.0,7.0,2811,64.798873,1
140000000,127.0,6.3,767,24.855701,1
137000000,138.0,5.3,1533,34.981698,1
130000000,110.0,5.4,3025,59.325589,1
130000000,124.0,5.7,434,21.605568,0
137000000,106.0,5.9,433,26.074908,0
140000000,124.0,6.6,7047,74.506246,1
135000000,128.0,6.0,862,39.604363,1
150000000,138.0,6.9,790,36.973031,1
120000000,115.0,6.1,2553,99.687084,1
130000000,100.0,5.8,373,17.7735,1
150000000,114.0,6.1,3021,62.898336,1
140000000,120.0,6.0,1000,44.19092,1
135000000,156.0,7.3,6396,100.635882,1
135000000,96.0,6.1,1074,44.765377,1
135000000,107.0,6.6,2051,29.91353,1
132000000,92.0,6.5,1346,84.366984,1
70000000,115.0,7.3,2888,45.381501,1
130000000,90.0,6.9,3145,84.689648,1
130000000,117.0,7.0,5880,120.09361,1
130000000,146.0,7.4,6495,76.310119,1
135000000,94.0,6.8,1519,63.473086,1
132000000,116.0,6.2,2322,48.572726,1
130000000,147.0,6.3,1564,38.068736,1
130000000,90.0,6.4,451,20.678787,1
110000000,100.0,6.2,2093,48.829437,1
125000000,139.0,5.6,2350,46.115758,1
130000000,107.0,6.7,2061,89.938296,1
130000000,141.0,7.7,5877,79.679601,1
130000000,165.0,6.3,694,28.840997,0
130000000,100.0,5.0,2532,42.840582,1
127500000,82.0,6.2,542,26.548594,1
127000000,97.0,6.1,1851,115.597753,1
130000000,95.0,6.7,1918,68.757242,1
125000000,152.0,7.5,7006,109.984351,1
130000000,96.0,5.4,1260,39.448066,0
140000000,143.0,7.5,6985,271.972889,1
125000000,123.0,6.6,5584,206.227151,1
125000000,149.0,6.5,2704,45.313197,1
103000000,102.0,6.3,978,42.40024,1
110000000,133.0,6.8,3506,2.871739,1
125000000,130.0,7.1,2438,7.255718,1
125000000,129.0,7.0,3886,81.499621,1
125000000,106.0,5.6,2233,47.686442,1
65000000,113.0,7.1,1710,43.129703,1
160000000,102.0,6.4,510,27.220157,0
130000000,120.0,6.0,2651,90.33681,1
125000000,125.0,4.2,1418,50.073575,1
123000000,104.0,6.2,1386,45.419668,1
125000000,124.0,6.2,2392,41.380094,1
125000000,123.0,5.9,1928,54.931334,1
120000000,130.0,6.2,597,25.752118,1
130000000,92.0,5.4,2589,60.810723,1
120000000,127.0,7.2,5797,51.328145,1
110000000,114.0,5.2,1712,46.834704,1
120000000,123.0,5.9,2341,62.641286,1
120000000,106.0,5.2,914,33.616115,1
130000000,124.0,6.3,5080,68.889395,1
120000000,78.0,5.4,613,27.990284,1
115000000,109.0,6.4,3439,67.33767,1
105000000,119.0,6.3,1570,27.835436,1
120000000,102.0,5.7,2342,66.757869,1
120000000,135.0,5.7,354,17.060695,0
120000000,121.0,4.9,223,11.137655,0
117000000,109.0,5.9,1547,44.906918,1
120000000,124.0,6.4,4800,67.698004,1
113000000,140.0,7.1,4116,44.108427,1
120000000,142.0,6.4,3992,43.987061,1
115000000,92.0,7.5,5996,106.815545,1
120000000,126.0,6.3,4053,15.953444,1
115000000,136.0,6.3,4432,54.035265,1
135000000,98.0,6.8,2399,64.183321,1
97250400,116.0,5.0,471,20.344364,1
115000000,134.0,5.8,341,18.714197,0
115000000,114.0,6.0,1523,60.467984,1
125000000,101.0,5.8,2636,143.350376,1
105000000,91.0,7.3,5751,110.153618,1
116000000,108.0,5.7,428,16.90444,1
135000000,112.0,5.8,963,39.873791,1
120000000,100.0,4.4,2278,38.126095,1
110000000,108.0,6.3,2862,48.780039,1
110000000,114.0,6.0,2968,100.412364,1
110000000,119.0,6.0,925,42.887121,1
110000000,165.0,6.8,1099,23.657284,1
110000000,125.0,6.4,2124,76.840712,1
110000000,120.0,6.5,2965,44.635452,1
110000000,119.0,6.2,3829,103.718387,1
116000000,170.0,7.0,1489,45.616098,0
112000000,85.0,4.9,621,22.845143,1
